Course,Title,Units,Course Description,Prerequisites,Learning Activites,Credit Limitations,Grade Mode,General Education
MAT 021A,Calculus,(4 units),"Functions, limits, continuity. Slope and derivative. Differentiation of algebraic and transcendental functions. Applications to motion, natural growth, graphing, extrema of a function. Differentials. L'Hopital's rule.","Two years of high school algebra, plane geometry, plane trigonometry, and analytical geometry, and satisfying the Mathematics Placement Requirement.","Lecture 3 hour(s), Discussion 1 hour(s).","Not open for credit to students who have completed MAT 016B, MAT 016C,MAT 017B, orMAT 017C; only 2 units of credit to students who have completed MAT 016A orMAT 017A.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).
MAT 021B,Calculus,(4 units),"This version has ended; see updated course, below.Continuation ofMAT 021A. Definition of definite integral, fundamental theorem of calculus, techniques of integration. Application to area, volume, arc length, average of a function, improper integral, surface of revolution.",(MAT 021AC- or better orMAT 021AHC- or better) orMAT 017AB or better.,"Lecture 3 hour(s), Discussion 1 hour(s).","Not open for credit to students who have completed MAT 016B, MAT 016C,MAT 017B, orMAT 017C; only 2 units of credit to students who have completed MAT 016A orMAT 017A.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).
MAT 021C,Calculus,(4 units),"Continuation ofMAT 021B. Sequences, series, tests for convergence, Taylor expansions. Vector algebra, vector calculus, scalar and vector fields. Partial derivatives, total differentials. Applications to maximum and minimum problems in two or more variables. Applications to physical systems.",MAT 016C C- or better orMAT 017CC- or better orMAT 021BC- or better orMAT 021BHC- or better orMAT 017BB or better.,"Lecture 3 hour(s), Discussion 1 hour(s).",,Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
MAT 022A,Linear Algebra,(3 units),"Matrices and linear transformations, determinants, eigenvalues, eigenvectors, diagonalization, factorization.",(MAT 016C C- or better orMAT 017CC- or better orMAT 021CC- or better orMAT 021CHC- or better); (ENG 006or EME 005 orECH 060orMAT 022AL(can be concurrent)).,Lecture 3 hour(s).,Not open for credit to students who have completedMAT 067.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
MAT 027A,Linear Algebra with Applications to Biology,(4 units),"Introduction to linear algebra with biological, medical, and bioengineering applications. Matrix algebra, vector spaces, orthogonality, determinants, eigenvalues, eigenvectors, principal component analysis, singular value decomposition, and linear transformations. Computer labs cover mathematical and computational techniques for modeling biological systems.",MAT 017CC- or better orMAT 021CC- or better orMAT 021CHC- or better.,"Lecture 3 hour(s), Laboratory 2 hour(s).",Not open for credit to students who have completedMAT 067.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
MAT 067,Modern Linear Algebra,(4 units),"Rigorous treatment of linear algebra; topics include vector spaces, bases and dimensions, orthogonal projections, eigenvalues and eigenvectors, similarity transformations, singular value decomposition and positive definiteness.",MAT 021CC- or better orMAT 021CHC- or better.,Lecture/Discussion 4 hour(s).,Only 1 unit of credit to students who have completedMAT 022A.,Letter.,Science & Engineering (SE).
ECS 020,Discrete Mathematics For Computer Science,(4 units),"Discrete mathematics of particular utility to computer science. Proofs by induction. Propositional and first-order logic. Sets, functions, and relations. Big-O and related notations. Recursion and solutions of recurrence relations. Combinatorics. Probability on finite probability spaces. Graph theory.",MAT 016A C- or better orMAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better.,"Lecture 3 hour(s), Discussion 1 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
ECS 036A,Programming & Problem Solving,(4 units),"Computers and computer programming for students with some prior experience, algorithm design, and debugging. Good programming style. Use of basic UNIX tools.","ECS 032AC- or better orECS 032AVC- or better or ECS 010 C- or better; or must satisfy computer science placement exam; prior experience with basic programming concepts (variable, loops, conditional statements) required.","Lecture 3 hour(s), Discussion 1 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
ECS 036B,Software Development & Object-Oriented Programming in C++,(4 units),Object-oriented programming in C++. Basic data structures and their use. Writing good programs of increased complexity and efficiency. Methods for debugging and verification.,ECS 030 C- or better orECS 036AC- or better.,"Lecture 3 hour(s), Discussion 1 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
ECS 036C,"Data Structures, Algorithms, & Programming",(4 units),"Design and analysis of data structures for a variety of applications; trees, heaps, searching, sorting, hashing, and graphs. Extensive programming.",(ECS 040 C- or better orECS 036BC- or better);ECS 020C- or better.,"Lecture 3 hour(s), Discussion 1 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
ECS 050,Computer Organization & Machine-Dependent Programming,(4 units),Comparative study of different hardware architectures via programming in the assembly languages of various machines. Role of system software in producing an abstract machine. Introduction to I/O devices and programming.,ECS 040 C- or better orECS 036BC- or better orECS 032CC- or better.,"Lecture 3 hour(s), Discussion 1 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
BIS 002A,Introduction to Biology: Essentials of Life on Earth,(5 units),"This version has ended; see updated course, below.Essentials of life including sources and use of energy, information storage, responsiveness to natural selection and cellularity. Origin of life and influence of living things on the chemistry of the Earth. May be taught abroad.",CHE 002AorCHE 004Aor equivalent recommended.,"Lecture 3 hour(s), Discussion 2 hour(s).","Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.",Letter.,Science & Engineering (SE); Quantitative Literacy (QL).
BIS 002B,Introduction to Biology: Principles of Ecology & Evolution,(5 units),"Introduction to basic principles of ecology and evolutionary biology, focusing on the fundamental mechanisms that generate and maintain biological diversity across scales ranging from molecules and genes to global processes and patterns.",,"Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).",Not open for credit to students who have completed BIS 001B with a grade of C- or better.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL).
BIS 002C,Introduction to Biology: Biodiversity & the Tree of Life,(5 units),"Introduction to organismal diversity, using the phylogenetic tree of life as an organizing theme. Lectures and laboratories cover methods of phylogenetic reconstruction, current knowledge of the tree of life, and the evolution of life's most important and interesting innovations.",BIS 001B C- or better orBIS 002BC- or better.,"Lecture 4 hour(s), Laboratory 3 hour(s).",Not open for credit to students who have completed BIS 001C with a grade of C- or better.,Letter.,Science & Engineering (SE); Oral Skills (OL); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL).
CHE 002A,General Chemistry,(5 units),"Periodic table, stoichiometry, chemical equations, physical properties and kinetic theory of gases, chemical equilibrium, acids and bases. Laboratory experiments in stoichiometric relations, properties and collection of gases, atomic spectroscopy, introductory quantitative analysis and acids and bases.","High school chemistry and physics, and concurrent enrollment in mathematics at or above the level ofMAT 012strongly recommended; must earn a qualifying score of 24 or higher on the Chemistry Placement Exam or completeCHE 001orCHE 001Vwith a C- or higher; more information about the Chemistry Placement Requirements can be found at https://chemistry.ucdavis.edu/undergraduate/general-chemistry-series/chemistry-placement-requirements/0000.","Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).",Only 3 units of credit for students who have completedCHE 004A; not open for credit for students who have completedCHE 002AHorCHE 004B.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).
CHE 002B,General Chemistry,(5 units),"Continuation ofCHE 002A. Thermodynamics, atomic and molecular structure and chemical bonding, condensed phases and intermolecular forces, solubility. Laboratory experiments in thermochemistry, equilibria, and quantitative analysis using volumetric methods.",CHE 002AC- or better.,"Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).",Only three units of credit for students who have completedCHE 004A; not open for credit for students who have completedCHE 002BHorCHE 004B.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).
CHE 002C,General Chemistry,(5 units),"Continuation ofCHE 002B. Kinetics, electrochemistry, spectroscopy, structure and bonding in transition metal compounds, application of principles to chemical reactions. Laboratory experiments in selected analytical methods and syntheses.",CHE 002BC- or better orCHE 002BHC- or better orCHE 004BC- or better.,"Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).",Not open for credit to students who have takenCHE 002CH.,Letter.,Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).
