user_message,bot_response,predicted_intent
Hello,"Hi there, how can I help?",greeting
What are the prerequisites for EEc 100?,The prerequisites for EEC 100 are: (ENG 017C- or better orENG 017VC- or better); (MAT 022BorMAT 027B).,prerequisite_inquiry
Thank you,I am glad I helped you,salutaion
Hello,"Hi there, how can I help?",greeting
What can you tell me about ECS 50?,"Sorry, I couldn’t find any information for ECS50.",description_inquiry
What are the prerequisites for ECS 50?,"Sorry, I couldn’t find any information for ECS50.",prerequisite_inquiry
What are the prerequisites for UWP 101?,The prerequisites for UWP 101 are: UWP 001C- or better orUWP 001VC- or better orUWP 001YC- or better orCOM 001C- or better orCOM 002C- or better orCOM 003C- or better orCOM 004C- or better orENL 003C- or better orENL 003VC- or better orNAS 005C- or better or better orNAS 005VC- or better; and upper division standing.,prerequisite_inquiry
What can you tell me about UWP 101?,"UWP 101 — Advanced Composition (4 units).
Description: Instruction for students in all disciplines in advanced principles of academic and professional writing. Focus on writing tasks both within and beyond the academy. May be taught abroad.",description_inquiry
hello,Good to see you again!,greeting
2026-01-14T15:46:52.460626,Hello,greeting,1.0000,Good to see you again!,session_1768434409419_9z4a0n571
2026-01-14T15:46:59.649421,I loev you,name,0.3576,I am your helper,session_1768434409419_9z4a0n571
2026-01-14T15:47:13.517882,How is your day going?,greeting,0.8330,Hello!,session_1768434409419_9z4a0n571
2026-01-14T15:47:23.992449,What are the prereqs for EEC 100,prerequisite_inquiry,0.9651,The prerequisites for EEC 100 are: (ENG 017C- or better orENG 017VC- or better); (MAT 022BorMAT 027B).,session_1768434409419_9z4a0n571
